,pred_prob,circum,num_size,closed_loop,average_distance,variance_distance,k,b,right_1,left_1,longest_line_length,is_nine
0,0.0,64,0.105,False,6.898,6.419,-0.556,24.444,34,48,20.591,False
1,0.0,83,0.168,False,7.566,8.195,-0.368,17.105,77,55,20.248,False
2,0.0,40,0.062,False,5.166,8.811,-0.368,19.474,24,25,20.248,False
3,0.0,75,0.2,False,6.567,2.213,-0.5,17.0,111,46,17.889,False
4,0.005,74,0.12,False,5.971,4.626,-0.222,21.333,19,75,18.439,False
5,0.0,41,0.082,False,5.201,7.95,-0.316,19.579,29,35,19.925,False
6,0.0,72,0.125,False,6.235,7.609,-0.5,24.5,26,72,20.125,False
7,0.001,74,0.173,False,7.09,5.806,1.75,-16.0,39,97,16.125,False
8,0.0,97,0.176,False,8.065,1.478,-0.176,10.882,99,39,17.263,False
9,0.0,101,0.171,False,6.421,5.804,-1.3,31.7,69,65,16.401,False
10,0.0,86,0.171,False,7.216,2.154,0.059,17.706,99,35,17.029,False
11,0.0,42,0.089,False,5.069,7.093,-0.158,15.632,34,36,19.235,False
12,0.0,94,0.136,False,7.649,6.105,1.667,-3.667,82,25,17.493,False
13,0.0,63,0.133,False,7.026,5.174,-0.529,24.765,43,61,19.235,False
14,0.0,95,0.205,False,6.982,8.328,0.938,5.25,125,36,21.932,False
15,0.0,67,0.101,False,5.28,6.017,-0.211,20.053,19,60,19.416,False
16,0.0,69,0.131,False,5.736,6.015,0.214,8.286,24,79,14.318,False
17,0.0,82,0.152,False,5.986,5.154,0.538,2.154,26,93,14.765,False
18,0.0,79,0.125,False,6.844,9.247,-1.714,48.143,7,91,13.892,False
19,0.001,66,0.089,False,5.568,4.397,0.118,15.176,55,15,17.117,False
20,0.0,84,0.29,False,7.337,3.546,-0.933,22.733,150,77,20.518,False
21,0.0,62,0.097,False,6.695,5.667,-0.167,19.5,22,54,18.248,False
22,0.001,71,0.131,False,5.714,4.361,-0.222,21.333,19,84,18.439,False
23,0.0,84,0.202,False,7.018,2.718,-0.118,19.706,54,104,17.117,False
24,0.0,40,0.079,False,5.098,7.514,0.158,11.368,30,32,19.235,False
25,0.0,66,0.148,False,6.239,7.151,1.091,-0.636,73,43,16.279,False
26,0.001,40,0.068,False,4.938,7.475,0.211,11.947,29,24,19.416,False
27,0.0,73,0.148,False,6.499,8.241,0.5,9.0,77,39,17.889,False
