,pred_prob,circum,num_size,closed_loop,average_distance,variance_distance,k,b,right_1,left_1,longest_line_length,is_nine
0,0.563,66,0.092,False,5.674,5.918,-0.111,17.778,24,48,18.111,True
1,0.577,67,0.093,False,5.577,8.106,-0.684,26.105,20,53,23.022,True
2,0.685,73,0.102,False,5.957,9.636,1.083,0.083,53,27,17.692,False
3,0.661,108,0.186,False,7.204,6.812,0.278,15.611,117,29,18.682,True
4,0.399,91,0.181,False,6.56,5.457,0.176,15.118,100,42,17.263,True
5,0.615,80,0.186,False,6.283,6.415,0.105,15.368,106,40,19.105,True
6,0.52,54,0.092,False,5.26,7.993,0.0,14.0,45,27,19.0,True
7,0.322,70,0.176,False,5.835,6.479,-0.588,24.118,54,84,19.723,True
8,0.472,86,0.14,False,6.619,6.299,0.222,13.889,78,32,18.439,True
9,0.7,68,0.106,False,6.067,6.005,-0.062,17.438,27,56,16.031,True
10,0.568,76,0.171,False,6.086,5.807,-0.733,28.6,27,107,18.601,True
11,0.637,60,0.134,False,5.16,6.824,-0.368,20.211,45,60,20.248,True
12,0.388,61,0.162,False,5.635,8.179,0.667,2.333,39,88,21.633,False
13,0.552,71,0.145,False,5.8,4.561,0.6,1.6,33,81,17.493,True
14,0.401,63,0.107,False,5.123,5.756,-0.053,16.368,34,50,19.026,False
15,0.398,75,0.145,False,6.802,3.14,-0.263,21.842,29,85,19.647,False
16,0.411,96,0.203,False,6.779,5.519,0.222,15.111,119,40,18.439,True
17,0.532,83,0.166,False,6.07,7.314,-0.263,20.316,40,90,19.647,True
18,0.658,55,0.079,False,4.708,4.582,-0.056,16.333,25,37,18.028,False
19,0.44,78,0.107,False,6.083,4.485,-0.438,23.938,20,64,17.464,False
20,0.503,67,0.114,False,5.411,4.724,0.053,16.632,62,27,19.026,True
21,0.404,78,0.108,False,6.147,4.407,-0.333,22.667,21,64,18.974,False
22,0.665,86,0.13,False,6.482,6.895,-0.944,30.611,35,67,24.759,False
23,0.477,62,0.134,False,5.376,6.572,-0.316,18.895,41,64,19.925,True
24,0.655,69,0.092,False,5.443,5.521,0.105,14.368,44,28,19.105,True
25,0.614,64,0.203,False,5.537,5.803,-0.389,22.722,42,117,19.313,False
26,0.461,89,0.227,False,6.736,6.668,-1.8,30.0,128,50,20.591,False
27,0.303,79,0.142,False,6.003,5.47,0.158,15.211,93,18,19.235,False
28,0.319,60,0.117,False,4.843,5.948,-0.158,15.789,47,45,19.235,True
29,0.623,61,0.08,False,5.654,6.182,-0.222,19.556,19,44,18.439,True
30,0.372,64,0.124,False,5.71,6.593,-0.625,25.0,36,61,18.868,True
31,0.466,74,0.126,False,5.165,5.406,0.105,13.368,51,48,19.105,False
32,0.55,71,0.101,False,5.527,3.519,-0.118,17.941,29,50,17.117,True
33,0.46,68,0.111,False,5.483,6.138,0.118,15.176,71,16,17.117,False
34,0.488,75,0.167,False,6.508,5.238,-0.111,20.667,21,110,18.111,False
35,0.379,81,0.191,False,7.094,1.909,4.0,-56.0,52,98,16.492,False
36,0.443,66,0.129,False,5.232,6.857,-0.579,22.474,46,55,21.954,False
37,0.607,63,0.108,False,5.293,7.434,0.211,12.947,61,24,19.416,False
38,0.327,77,0.134,False,5.825,5.464,-1.25,26.5,75,30,19.209,False
39,0.401,83,0.116,False,7.201,2.792,-0.062,10.5,64,27,16.031,False
40,0.333,57,0.079,False,5.129,6.729,-0.389,21.722,19,43,19.313,False
41,0.517,79,0.147,False,6.244,5.437,0.278,11.056,59,56,18.682,True
42,0.608,68,0.19,False,5.65,6.59,-0.526,25.158,34,115,21.471,True
43,0.351,80,0.158,False,6.397,7.935,0.0,17.0,80,44,19.0,True
44,0.487,59,0.112,False,4.783,5.906,0.353,7.176,30,58,18.028,True
45,0.372,84,0.14,False,5.73,6.72,-0.176,14.235,73,37,17.263,False
46,0.405,78,0.154,False,6.499,8.136,0.263,13.684,96,25,19.647,True
47,0.669,59,0.114,False,5.532,5.316,0.125,14.375,61,28,16.125,True
48,0.657,62,0.097,False,5.313,6.201,-0.389,21.722,24,52,19.313,True
49,0.389,73,0.179,False,6.921,6.064,1.091,1.364,100,40,16.279,False
50,0.491,69,0.188,False,5.378,5.362,0.105,14.474,101,46,19.105,True
51,0.652,49,0.077,False,5.252,7.864,0.158,13.211,39,21,19.235,True
52,0.359,51,0.129,False,5.728,5.196,0.211,11.737,61,40,19.416,False
53,0.658,71,0.152,False,6.257,6.163,0.688,3.188,45,74,19.416,False
54,0.627,85,0.17,False,6.924,4.037,0.562,12.062,112,21,18.358,True
55,0.566,68,0.154,False,5.435,5.602,-0.368,21.211,35,86,20.248,False
56,0.515,76,0.221,False,6.012,6.589,1.0,-1.0,78,95,19.799,False
57,0.678,80,0.181,False,7.141,6.996,0.412,12.941,107,35,18.385,False
58,0.63,78,0.154,False,6.606,5.177,0.357,14.214,91,30,14.866,False
59,0.622,86,0.253,False,6.841,6.763,-1.5,38.5,71,127,21.633,True
60,0.521,90,0.191,False,7.129,3.87,-0.471,25.294,31,119,18.788,True
61,0.453,90,0.167,False,6.371,8.317,-0.706,28.353,34,97,20.809,False
62,0.301,76,0.13,False,5.536,7.269,-0.158,21.105,14,88,19.235,True
63,0.434,58,0.083,False,5.154,8.316,-0.5,22.0,25,40,15.652,True
64,0.315,61,0.101,False,5.479,6.397,-0.263,20.579,22,57,19.647,True
65,0.664,71,0.156,False,5.579,5.967,-0.389,20.722,47,75,19.313,True
66,0.693,79,0.186,False,6.038,6.16,-0.474,22.842,45,101,21.024,True
67,0.44,59,0.172,False,5.501,6.136,-0.211,16.263,70,65,19.416,True
68,0.365,67,0.162,False,5.514,6.566,-0.933,31.467,28,99,20.518,False
69,0.391,83,0.209,False,6.219,6.783,0.0,18.0,123,41,18.0,False
70,0.655,76,0.165,False,6.196,6.506,-0.368,23.211,32,97,20.248,False
71,0.323,61,0.129,False,5.695,5.867,-0.211,19.263,34,67,19.416,True
72,0.314,54,0.219,False,5.596,5.998,0.667,4.0,78,94,21.633,False
73,0.636,56,0.142,False,5.083,5.475,-0.333,19.333,50,61,18.974,True
74,0.446,75,0.128,False,6.412,4.224,-0.75,28.5,31,69,20.0,True
75,0.423,63,0.101,False,5.462,6.68,-0.412,21.294,30,49,18.385,True
76,0.671,65,0.13,False,4.847,5.519,-0.368,22.947,21,81,20.248,True
77,0.622,63,0.105,False,5.055,8.774,-0.526,21.684,43,39,21.471,False
78,0.564,72,0.106,False,5.667,5.033,-0.353,20.471,36,47,18.028,False
79,0.678,50,0.092,False,5.61,6.823,0.053,14.684,45,27,19.026,False
80,0.623,65,0.14,False,5.465,6.964,-0.857,29.429,38,72,18.439,True
81,0.306,100,0.188,False,6.8,5.712,-2.714,57.286,59,88,20.248,True
82,0.302,61,0.093,False,5.786,6.235,-0.071,18.786,17,56,14.036,False
83,0.678,73,0.11,False,5.091,6.245,0.053,13.632,49,37,19.026,True
84,0.593,78,0.177,False,6.011,6.001,0.368,12.158,92,47,20.248,True
85,0.525,66,0.157,False,5.785,5.279,-0.733,28.6,39,84,18.601,False
86,0.685,52,0.07,False,5.437,9.164,-0.368,20.211,20,35,20.248,False
87,0.538,58,0.175,False,5.48,6.992,-0.474,21.842,54,83,21.024,True
88,0.644,65,0.151,False,5.88,5.599,0.105,14.474,74,44,19.105,True
89,0.61,87,0.226,False,6.369,6.229,-0.053,17.263,64,113,19.026,True
90,0.426,78,0.124,False,5.471,5.167,-0.556,23.778,33,64,20.591,False
91,0.523,88,0.175,False,6.078,6.848,-0.316,17.895,63,74,19.925,True
92,0.445,66,0.221,False,5.688,5.086,0.105,13.474,93,80,19.105,False
93,0.346,69,0.188,False,6.597,6.474,9.5,-100.5,94,53,19.105,False
94,0.484,74,0.136,False,5.363,5.084,-0.316,18.579,50,57,19.925,False
95,0.454,60,0.11,False,6.132,5.525,-0.333,23.667,22,64,15.811,False
96,0.341,53,0.126,False,5.566,8.265,-0.632,23.789,40,59,22.472,False
97,0.375,53,0.106,False,4.887,6.016,-0.056,15.333,38,45,18.028,True
98,0.549,58,0.125,False,5.252,5.232,0.053,15.684,73,25,19.026,True
99,0.426,105,0.177,False,6.707,8.934,1.308,-3.462,79,60,21.401,False
100,0.317,85,0.13,False,5.623,4.262,0.105,15.579,69,33,19.105,False
101,0.45,97,0.208,False,6.789,7.963,0.316,13.789,123,40,19.925,True
102,0.372,46,0.064,False,5.0,7.122,-0.158,16.947,19,31,19.235,True
103,0.583,85,0.182,False,7.423,3.187,-0.5,15.5,121,22,15.652,False
104,0.406,76,0.242,False,6.33,4.496,-0.529,20.176,104,86,19.235,False
105,0.635,73,0.13,False,5.97,5.02,-3.75,69.75,48,54,15.524,False
106,0.622,98,0.227,False,6.908,5.53,-0.0,9.0,141,37,18.0,True
107,0.627,81,0.151,False,6.103,5.539,-0.733,28.333,33,85,18.601,True
108,0.535,80,0.158,False,6.189,3.717,0.105,15.474,90,34,19.105,True
109,0.383,73,0.161,False,5.641,5.519,-0.462,18.769,80,46,14.318,False
110,0.552,57,0.125,False,5.167,7.995,-0.579,23.474,35,63,21.954,False
111,0.434,61,0.122,False,6.107,7.554,-1.067,31.667,29,67,21.932,False
112,0.449,81,0.131,False,6.431,6.453,0.056,15.722,69,34,18.028,True
113,0.424,56,0.102,False,5.181,4.913,-0.105,16.632,29,51,19.105,False
114,0.545,84,0.116,False,5.543,6.688,0.056,15.667,61,30,18.028,False
115,0.416,79,0.143,False,5.702,3.983,-0.158,18.789,41,71,19.235,False
116,0.599,68,0.117,False,5.679,8.264,-0.667,25.667,33,59,21.633,True
117,0.378,50,0.077,False,4.697,7.381,-0.375,20.625,21,39,17.088,True
118,0.661,46,0.088,False,4.769,6.619,-0.105,15.632,27,42,19.105,False
119,0.607,59,0.184,False,5.629,5.149,-0.368,21.211,46,98,20.248,False
120,0.424,61,0.097,False,5.124,5.692,-0.154,19.692,16,60,13.153,False
121,0.381,82,0.112,False,7.46,5.184,0.105,17.158,68,20,19.105,False
122,0.682,69,0.108,False,5.326,5.928,-0.211,18.263,27,58,19.416,True
123,0.6,54,0.07,False,4.983,6.644,-0.053,16.316,18,37,19.026,False
124,0.56,63,0.157,False,5.41,7.662,-0.158,15.947,55,68,19.235,False
125,0.31,58,0.133,False,5.096,5.79,-0.412,22.294,34,70,18.385,False
126,0.561,70,0.126,False,5.011,5.778,-0.053,16.316,42,57,19.026,False
127,0.333,58,0.096,False,5.904,11.138,-0.789,25.737,32,43,24.207,True
128,0.331,64,0.102,False,5.177,6.412,-0.389,21.333,25,55,19.313,True
129,0.592,62,0.138,False,5.249,4.688,0.111,14.444,68,40,18.111,True
130,0.355,50,0.106,False,4.99,6.544,0.056,15.611,56,27,18.028,True
131,0.531,68,0.102,False,6.316,7.221,-0.059,16.294,30,50,17.029,True
132,0.59,68,0.107,False,5.322,6.083,-0.105,18.632,20,64,19.105,False
133,0.664,83,0.167,False,6.925,8.482,0.421,10.895,96,35,20.616,True
134,0.486,105,0.255,False,7.078,4.747,-1.167,28.167,108,92,18.439,False
135,0.514,62,0.098,False,5.376,5.155,-0.105,16.632,35,42,19.105,False
136,0.513,65,0.125,False,5.933,6.199,-0.353,19.471,41,57,18.028,False
137,0.447,67,0.156,False,5.193,5.096,0.105,14.474,73,49,19.105,False
138,0.697,68,0.105,False,5.368,7.222,-0.579,25.053,23,59,21.954,True
139,0.663,72,0.124,False,6.313,8.507,-1.714,33.0,58,39,13.892,False
140,0.559,62,0.198,False,5.825,5.523,-0.556,23.889,54,101,20.591,False
141,0.538,77,0.149,False,7.059,11.182,-0.778,28.444,34,83,22.804,False
